id,name
l10n_co_aat_1001_5027_P,1001:5027:P
l10n_co_aat_1001_5027_Q,1001:5027:Q
l10n_co_aat_1001_5028_M,1001:5028:M
l10n_co_aat_1001_5028_N,1001:5028:N
l10n_co_aat_1001_5028_O,1001:5028:O
l10n_co_aat_1001_5028_P,1001:5028:P
l10n_co_aat_1001_5028_Q,1001:5028:Q
l10n_co_aat_1001_5028_R,1001:5028:R
l10n_co_aat_1001_5029_M,1001:5029:M
l10n_co_aat_1001_5029_N,1001:5029:N
l10n_co_aat_1001_5029_O,1001:5029:O
l10n_co_aat_1001_5029_Q,1001:5029:Q
l10n_co_aat_1001_5029_R,1001:5029:R
l10n_co_aat_1001_5030_M,1001:5030:M
l10n_co_aat_1001_5030_N,1001:5030:N
l10n_co_aat_1001_5030_O,1001:5030:O
l10n_co_aat_1001_5030_P,1001:5030:P
l10n_co_aat_1001_5030_Q,1001:5030:Q
l10n_co_aat_1001_5030_R,1001:5030:R
l10n_co_aat_1001_5031_M,1001:5031:M
l10n_co_aat_1001_5031_N,1001:5031:N
l10n_co_aat_1001_5031_O,1001:5031:O
l10n_co_aat_1001_5031_P,1001:5031:P
l10n_co_aat_1001_5031_Q,1001:5031:Q
l10n_co_aat_1001_5031_R,1001:5031:R
l10n_co_aat_1001_5032_M,1001:5032:M
l10n_co_aat_1001_5032_N,1001:5032:N
l10n_co_aat_1001_5032_O,1001:5032:O
l10n_co_aat_1001_5032_P,1001:5032:P
l10n_co_aat_1001_5032_Q,1001:5032:Q
l10n_co_aat_1001_5032_R,1001:5032:R
l10n_co_aat_1001_5033_M,1001:5033:M
l10n_co_aat_1001_5033_N,1001:5033:N
l10n_co_aat_1001_5033_O,1001:5033:O
l10n_co_aat_1001_5033_P,1001:5033:P
l10n_co_aat_1001_5033_Q,1001:5033:Q
l10n_co_aat_1001_5033_R,1001:5033:R
l10n_co_aat_1001_5034_M,1001:5034:M
l10n_co_aat_1001_5034_N,1001:5034:N
l10n_co_aat_1001_5034_Q,1001:5034:Q
l10n_co_aat_1001_5034_R,1001:5034:R
l10n_co_aat_1001_5035_M,1001:5035:M
l10n_co_aat_1001_5035_N,1001:5035:N
l10n_co_aat_1001_5035_Q,1001:5035:Q
l10n_co_aat_1001_5035_R,1001:5035:R
l10n_co_aat_1001_5043_M,1001:5043:M
l10n_co_aat_1001_5043_N,1001:5043:N
l10n_co_aat_1001_5043_O,1001:5043:O
l10n_co_aat_1001_5043_R,1001:5043:R
l10n_co_aat_1001_5044_M,1001:5044:M
l10n_co_aat_1001_5044_N,1001:5044:N
l10n_co_aat_1001_5044_Q,1001:5044:Q
l10n_co_aat_1001_5044_R,1001:5044:R
l10n_co_aat_1001_5045_M,1001:5045:M
l10n_co_aat_1001_5045_N,1001:5045:N
l10n_co_aat_1001_5045_Q,1001:5045:Q
l10n_co_aat_1001_5045_R,1001:5045:R
l10n_co_aat_1001_5046_M,1001:5046:M
l10n_co_aat_1001_5046_N,1001:5046:N
l10n_co_aat_1001_5046_Q,1001:5046:Q
l10n_co_aat_1001_5046_R,1001:5046:R
l10n_co_aat_1001_5047_M,1001:5047:M
l10n_co_aat_1001_5047_N,1001:5047:N
l10n_co_aat_1001_5047_Q,1001:5047:Q
l10n_co_aat_1001_5047_R,1001:5047:R
l10n_co_aat_1001_5048_M,1001:5048:M
l10n_co_aat_1001_5048_N,1001:5048:N
l10n_co_aat_1001_5048_Q,1001:5048:Q
l10n_co_aat_1001_5048_R,1001:5048:R
l10n_co_aat_1001_5059_M,1001:5059:M
l10n_co_aat_1001_5059_N,1001:5059:N
l10n_co_aat_1001_5059_Q,1001:5059:Q
l10n_co_aat_1001_5059_R,1001:5059:R
l10n_co_aat_1001_5053_M,1001:5053:M
l10n_co_aat_1001_5053_N,1001:5053:N
l10n_co_aat_1001_5053_Q,1001:5053:Q
l10n_co_aat_1001_5053_R,1001:5053:R
l10n_co_aat_1001_5054_M,1001:5054:M
l10n_co_aat_1001_5054_N,1001:5054:N
l10n_co_aat_1001_5054_Q,1001:5054:Q
l10n_co_aat_1001_5054_R,1001:5054:R
l10n_co_aat_1001_5055_M,1001:5055:M
l10n_co_aat_1001_5055_N,1001:5055:N
l10n_co_aat_1001_5055_O,1001:5055:O
l10n_co_aat_1001_5055_P,1001:5055:P
l10n_co_aat_1001_5055_Q,1001:5055:Q
l10n_co_aat_1001_5055_R,1001:5055:R
l10n_co_aat_1001_5056_M,1001:5056:M
l10n_co_aat_1001_5056_N,1001:5056:N
