id,process,massive_id:id,description,condition,model_id,to_update,to_load,to_create
ie_massive_line_Inventories_Inventories,TRUE,ie_massive_Inventories,Inventories,"[[[1,'=',1]]]",account.move,TRUE,TRUE,FALSE
ie_massive_line_Leaves_Leaves,TRUE,ie_massive_Leaves,Leaves,"[[[1,'=',1]]]",account.move,TRUE,TRUE,FALSE
ie_massive_line_Purchase_Massives,TRUE,ie_massive_Purchases,Massives,"[[[1,'=',1]]]",massive.purchase,TRUE,TRUE,FALSE
ie_massive_line_Products_Milk_Prices,TRUE,ie_massive_Products,Milk Prices,"[[[1,'=',1]]]",account.move,TRUE,TRUE,FALSE
ie_massive_line_Payrolls_Payslip_Inputs,TRUE,ie_massive_Payrolls,Payslip Inputs,"[[[1,'=',1]]]",hr.payslip.input,TRUE,TRUE,FALSE
ie_massive_line_Payrolls_Payslip-2018,TRUE,ie_massive_Payrolls,Payslip-2018,"[[[1,'=',1]]]",hr.payslip.input,TRUE,TRUE,FALSE
ie_massive_line_Products_Price_List_Items,TRUE,ie_massive_Products,Price List Items,"[[[1,'=',1]]]",product.pricelist,TRUE,TRUE,FALSE
ie_massive_line_Products_Milk_Prices,TRUE,ie_massive_Products,Milk Prices,"[[[1,'=',1]]]",product.pricelist,TRUE,TRUE,FALSE
ie_massive_line_Productions_Production_Lots,TRUE,ie_massive_Productions,Production Lots,"[[[1,'=',1]]]",stock.production.lot,TRUE,TRUE,FALSE
ie_massive_line_Projects_Projects,TRUE,ie_massive_Projects,Projects,"[[[1,'=',1]]]",project.project,TRUE,TRUE,FALSE
ie_massive_line_Projects_Types,TRUE,ie_massive_Projects,Types,"[[[1,'=',1]]]",project.task.type,TRUE,TRUE,FALSE
ie_massive_line_Projects_Tasks,TRUE,ie_massive_Projects,Tasks,"[[[1,'=',1]]]",project.task,TRUE,TRUE,FALSE
ie_massive_line_Projects_Subtasks,TRUE,ie_massive_Projects,Subtasks,"[[[1,'=',1]]]",project.task,TRUE,TRUE,FALSE
ie_massive_line_Qualities_Quality_Cheks,TRUE,ie_massive_Qualities,Quality Cheks,"[[[1,'=',1]]]",quality.check,TRUE,TRUE,FALSE
ie_massive_line_Reception_Reception,TRUE,ie_massive_Purchases,Reception,"[[[1,'=',1]]]",stock.move.line,TRUE,TRUE,FALSE
ie_massive_line_Sales_Sale_Orders,TRUE,ie_massive_Sales,Sale Orders,"[[[1,'=',1]]]",sale.order,TRUE,TRUE,FALSE
ie_massive_line_Sales_CEN,TRUE,ie_massive_Sales,CEN,"[[[1,'=',1]]]",sale.order,TRUE,TRUE,FALSE
ie_massive_line_Supplier_Suppliers,TRUE,ie_massive_Suppliers,Suppliers,"[[[1,'=',1]]]",res.partner,TRUE,TRUE,FALSE
ie_massive_line_Transfers_Transfers,TRUE,ie_massive_Transfers,Transfers,"[[[1,'=',1]]]",stock.picking,TRUE,TRUE,FALSE
ie_massive_line_Warehouses_Warehouses,TRUE,ie_massive_Transfers,WareHouses,"[[[1,'=',1]]]",stock.picking,TRUE,TRUE,FALSE

